cluster	ensembl_gene_id	counts	genes_num	genes_names
cl_1	ENSG00000087088 ENSG00000141510 ENSG00000171791	572	3	BAX
cl_1	ENSG00000087088 ENSG00000141510 ENSG00000171791	572	3	TP53
cl_1	ENSG00000087088 ENSG00000141510 ENSG00000171791	572	3	BCL2
cl_2	ENSG00000091831 ENSG00000141736 ENSG00000148773	352	3	ESR1
cl_2	ENSG00000091831 ENSG00000141736 ENSG00000148773	352	3	ERBB2
cl_2	ENSG00000091831 ENSG00000141736 ENSG00000148773	352	3	MKI67
cl_3	ENSG00000087088 ENSG00000143799 ENSG00000171791	332	3	BAX
cl_3	ENSG00000087088 ENSG00000143799 ENSG00000171791	332	3	PARP1
cl_3	ENSG00000087088 ENSG00000143799 ENSG00000171791	332	3	BCL2
cl_4	ENSG00000087088 ENSG00000171552 ENSG00000171791	240	3	BAX
cl_4	ENSG00000087088 ENSG00000171552 ENSG00000171791	240	3	BCL2L1
cl_4	ENSG00000087088 ENSG00000171552 ENSG00000171791	240	3	BCL2
cl_5	ENSG00000110092 ENSG00000136997 ENSG00000168036	197	3	CCND1
cl_5	ENSG00000110092 ENSG00000136997 ENSG00000168036	197	3	MYC
cl_5	ENSG00000110092 ENSG00000136997 ENSG00000168036	197	3	CTNNB1
cl_6	ENSG00000142208 ENSG00000171862 ENSG00000198793	192	3	AKT1
cl_6	ENSG00000142208 ENSG00000171862 ENSG00000198793	192	3	PTEN
cl_6	ENSG00000142208 ENSG00000171862 ENSG00000198793	192	3	MTOR
cl_7	ENSG00000091831 ENSG00000141736 ENSG00000146648	184	3	ESR1
cl_7	ENSG00000091831 ENSG00000141736 ENSG00000146648	184	3	ERBB2
cl_7	ENSG00000091831 ENSG00000141736 ENSG00000146648	184	3	EGFR
cl_8	ENSG00000133703 ENSG00000146648 ENSG00000157764	165	3	KRAS
cl_8	ENSG00000133703 ENSG00000146648 ENSG00000157764	165	3	EGFR
cl_8	ENSG00000133703 ENSG00000146648 ENSG00000157764	165	3	BRAF
cl_9	ENSG00000143384 ENSG00000171552 ENSG00000171791	140	3	MCL1
cl_9	ENSG00000143384 ENSG00000171552 ENSG00000171791	140	3	BCL2L1
cl_9	ENSG00000143384 ENSG00000171552 ENSG00000171791	140	3	BCL2
cl_10	ENSG00000026025 ENSG00000039068 ENSG00000168036	137	3	VIM
