gene,annotation,ensembl_gene_id,depmap,trct_ab,trct_sm,trct_om,lit_egfr,lit_nsclc,lit_egfr_norm,lit_nsclc_norm,lit_total,L2_egfr,L2_nsclc,n_neighbours,n_edges,degree,pagerank,betweenness,full_screen,KO_osi,KO_gefi,KO_all,A_osi,A_gefi,A_all,clin_ES1,clin_ES2,clin_ES3,RNAseq_adjpval,RNAseq_LFC
AASS,aminoadipate-semialdehyde synthase,ENSG00000008311,nonessential,0,6,0,0,0,0.00,0.00,140,27.7,17.8,485,564,4,0.332499286,70.18002157,1,0,0,0,1,0,1,0,0,0,1.31E-04,1.1
ABAT,4-aminobutyrate aminotransferase,ENSG00000183044,nonessential,0,9,0,0,0,0.00,0.00,1620,31.5,18.6,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6.30E-06,0.7
ABCB10,ATP binding cassette subfamily B member 10,ENSG00000135776,essential,3,6,0,0,0,0.00,0.00,306,27.9,19.5,449,621,1,0.209855231,0,2,0,0,0,1,1,2,0,0,0,6.91E-07,-0.7
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),ENSG00000118777,nonessential,6,6,0,0,0,0.00,0.00,9522,32.1,26.9,6248,11244,3,0.290778464,2.768582012,1,0,0,0,0,1,1,0,0,0,1,0
ABHD16B,abhydrolase domain containing 16B,ENSG00000183260,nonessential,0,0,0,0,0,0.00,0.00,4,25.2,16.5,91,104,0,0.15,0,1,0,0,0,0,1,1,0,0,0,1,0
ABTB1,ankyrin repeat and BTB domain containing 1,ENSG00000114626,nonessential,5,0,0,0,0,0.00,0.00,53,21.8,19.5,219,263,6,0.397692448,166.3842059,1,0,0,0,1,0,1,0,0,0,5.06E-19,2.3
ACOT13,acyl-CoA thioesterase 13,ENSG00000112304,nonessential,0,6,0,0,0,0.00,0.00,73,25.6,18.3,374,439,6,0.390004818,1531.680925,1,0,0,0,1,0,1,0,0,0,1,0
ACTR10,actin related protein 10 homolog,ENSG00000131966,essential,5,0,0,0,0,0.00,0.00,61,22.9,21.1,326,382,4,0.336398198,20.48902663,2,0,0,0,1,1,2,0,0,0,0.005949254,0.2
ADA,adenosine deaminase,ENSG00000196839,nonessential,6,9,0,0,0,0.00,0.00,9648,38.5,30.3,3077,5970,12,0.756927657,39306.89818,1,0,0,0,1,0,1,0,0,0,1,0
ADAM18,ADAM metallopeptidase domain 18,ENSG00000168619,nonessential,3,0,0,0,0,0.00,0.00,41,26.1,17.6,262,276,0,0.15,0,1,0,0,0,1,0,1,0,0,0,1,0
ADAM18,ADAM metallopeptidase domain 18,ENSG00000278548,unknown,0,0,0,0,0,0.00,0.00,41,52.9,49.7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,ENSG00000140470,nonessential,4,0,0,0,0,0.00,0.00,128,26,18.2,462,517,1,0.181011778,0,1,0,0,0,1,0,1,0,0,0,1,0
ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,ENSG00000158859,nonessential,5,6,0,0,0,0.00,0.00,797,22.8,18.9,3845,4623,13,0.846414925,29809.33531,1,0,0,0,1,0,1,0,0,0,1,0
ADCY2,adenylate cyclase 2,ENSG00000078295,nonessential,6,0,0,0,0,0.00,0.00,317,27.8,20.2,1627,1838,4,0.435042804,9968.440934,1,0,0,0,0,1,1,0,0,0,1,0
